theme,objective,family,effort,comparison,from_attr_code,from_attr_label,to_attr_code,to_attr_label,count,share_of_mismatches,n_mismatches
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,A,Adherence,S,Safety,8,0.03686635944700461,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,S,Safety,D,Durability,25,0.1152073732718894,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,E,Efficacy,D,Durability,21,0.0967741935483871,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,A,Adherence,D,Durability,31,0.14285714285714285,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,D,Durability,S,Safety,10,0.04608294930875576,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,D,Durability,E,Efficacy,36,0.16589861751152074,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,E,Efficacy,S,Safety,52,0.23963133640552994,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,S,Safety,E,Efficacy,3,0.013824884792626729,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,A,Adherence,E,Efficacy,10,0.04608294930875576,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,D,Durability,A,Adherence,15,0.06912442396313365,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,S,Safety,A,Adherence,6,0.027649769585253458,217
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,S,Safety,E,Efficacy,51,0.11617312072892938,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,A,Adherence,E,Efficacy,25,0.05694760820045558,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,D,Durability,E,Efficacy,145,0.33029612756264237,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,D,Durability,S,Safety,74,0.16856492027334852,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,A,Adherence,S,Safety,30,0.0683371298405467,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,D,Durability,A,Adherence,28,0.06378132118451026,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,E,Efficacy,S,Safety,42,0.09567198177676538,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,S,Safety,A,Adherence,16,0.03644646924829157,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,A,Adherence,D,Durability,3,0.00683371298405467,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,E,Efficacy,A,Adherence,15,0.03416856492027335,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,E,Efficacy,D,Durability,1,0.002277904328018223,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,S,Safety,D,Durability,9,0.02050113895216401,439
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,S,Safety,E,Efficacy,56,0.14507772020725387,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,D,Durability,E,Efficacy,138,0.35751295336787564,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,D,Durability,S,Safety,79,0.20466321243523317,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,A,Adherence,S,Safety,14,0.03626943005181347,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,D,Durability,A,Adherence,38,0.09844559585492228,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,S,Safety,A,Adherence,21,0.054404145077720206,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,A,Adherence,E,Efficacy,14,0.03626943005181347,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,E,Efficacy,S,Safety,20,0.05181347150259067,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,E,Efficacy,A,Adherence,1,0.0025906735751295338,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,S,Safety,D,Durability,2,0.0051813471502590676,386
drugs,5-year overall patient outcome,GPT-5-mini,minimal,linear_vs_judge,A,Adherence,D,Durability,3,0.007772020725388601,386
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,A,Adherence,S,Safety,42,0.17427385892116182,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,D,Durability,S,Safety,32,0.13278008298755187,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,A,Adherence,D,Durability,29,0.12033195020746888,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,E,Efficacy,D,Durability,6,0.024896265560165973,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,D,Durability,E,Efficacy,32,0.13278008298755187,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,E,Efficacy,S,Safety,54,0.22406639004149378,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,S,Safety,D,Durability,12,0.04979253112033195,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,A,Adherence,E,Efficacy,13,0.05394190871369295,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,S,Safety,E,Efficacy,2,0.008298755186721992,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,D,Durability,A,Adherence,10,0.04149377593360996,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_linear,S,Safety,A,Adherence,9,0.03734439834024896,241
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_judge,A,Adherence,E,Efficacy,76,0.17882352941176471,425
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_judge,S,Safety,E,Efficacy,79,0.18588235294117647,425
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_judge,D,Durability,S,Safety,20,0.047058823529411764,425
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_judge,D,Durability,E,Efficacy,100,0.23529411764705882,425
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_judge,A,Adherence,S,Safety,34,0.08,425
drugs,5-year overall patient outcome,GPT-5-mini,low,actor_vs_judge,A,Adherence,D,Durability,12,0.02823529411764706,425
