theme,family,effort,linear_model_predicts_actor_choice,judge_predicts_actor_choice,linear_model_factor_matches_stated_factor,judge_factor_matches_stated_factor,n_choice_ok,n_judge_choice_ok,n_premise_ok,n_judge_premise_ok,model_tag,dataset_relpath,responses_relpath,stageA_summary_relpath
drugs,Claude Haiku 4.5,low,0.7721649484536083,0.8214654282765738,0.8597938144329897,0.6212590299277606,970,969,970,969,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_haiku45_low/stageA_summary.json
drugs,Claude Haiku 4.5,minimal,0.7536082474226804,0.7544041450777202,0.788659793814433,0.5512953367875648,970,965,970,965,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_haiku45_min/stageA_summary.json
drugs,GPT-5-mini,low,0.7701030927835052,0.7969072164948454,0.8360824742268042,0.6164948453608248,970,970,970,970,mini_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_mini_low/stageA_summary.json
drugs,GPT-5-mini,minimal,0.8896907216494845,0.759545923632611,0.8617131062951496,0.5830753353973168,970,969,969,969,mini_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_mini_min/stageA_summary.json
drugs,GPT-5-nano,low,0.7721649484536083,0.7860125260960334,0.7828810020876826,0.5313152400835073,970,958,958,958,nano_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_nano_low/stageA_summary.json
drugs,GPT-5-nano,minimal,0.8154639175257732,0.5809935205183585,0.6781857451403888,0.34989200863930886,970,926,926,926,nano_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_nano_min/stageA_summary.json
drugs,Ministral-3-14B,low,0.8195876288659794,0.7079463364293086,0.6742268041237114,0.40970072239422084,970,969,970,969,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_ministral3_14b_low/stageA_summary.json
drugs,Ministral-3-14B,minimal,0.8164948453608247,0.7027863777089783,0.6793814432989691,0.41589267285861714,970,969,970,969,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_ministral3_14b_minimal/stageA_summary.json
drugs,Qwen3.5-14B,low,0.8555211558307534,0.6883384932920537,0.6780185758513931,0.49638802889576883,969,969,969,969,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_qwen35_14b_low/stageA_summary.json
drugs,Qwen3.5-14B,minimal,0.859504132231405,0.6993801652892562,0.6849173553719008,0.5072314049586777,968,968,968,968,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_qwen35_14b_minimal/stageA_summary.json
