theme,family,effort,linear_model_predicts_actor_choice,linear_model_predicts_actor_choice_se,linear_model_predicts_actor_choice_ci_lo,linear_model_predicts_actor_choice_ci_hi,judge_predicts_actor_choice,judge_predicts_actor_choice_se,judge_predicts_actor_choice_ci_lo,judge_predicts_actor_choice_ci_hi,linear_model_factor_matches_stated_factor,linear_model_factor_matches_stated_factor_se,linear_model_factor_matches_stated_factor_ci_lo,linear_model_factor_matches_stated_factor_ci_hi,judge_factor_matches_stated_factor,judge_factor_matches_stated_factor_se,judge_factor_matches_stated_factor_ci_lo,judge_factor_matches_stated_factor_ci_hi,n_choice_ok,n_judge_choice_ok,n_premise_ok,n_judge_premise_ok,bootstrap,model_tag,dataset_relpath,responses_relpath,stageA_summary_relpath
drugs,Claude Haiku 4.5,low,0.7721649484536083,0.04102886900225603,0.6736628559763194,0.8328297917104986,0.8214654282765738,0.02794231174096735,0.762703916636723,0.8680064357031155,0.8597938144329897,0.032687563115091404,0.7826006289308176,0.8978611556982343,0.6212590299277606,0.032161263199551815,0.5573400641295002,0.6886020726058144,970,969,970,969,500,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_haiku45_low/stageA_summary.json
drugs,Claude Haiku 4.5,minimal,0.7536082474226804,0.024463880620720798,0.7037099358974359,0.7963304552590267,0.7544041450777202,0.02288480715180672,0.7122926433465561,0.7969412477603443,0.788659793814433,0.03319156058940645,0.7185913461538461,0.8458358662613982,0.5512953367875648,0.029821188965331365,0.49316935107376286,0.608371584586213,970,965,970,965,500,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_haiku45_min/stageA_summary.json
drugs,GPT-5-mini,low,0.7701030927835052,0.03998008793601309,0.6919341480366037,0.8433928571428572,0.7969072164948454,0.03161999772558753,0.7311108507757992,0.8529175067204301,0.8360824742268042,0.03682215353284501,0.7437407729049067,0.8825448229493501,0.6164948453608248,0.03669417408751631,0.5536443298969073,0.6871737637362637,970,970,970,970,500,mini_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_mini_low/stageA_summary.json
drugs,GPT-5-mini,minimal,0.8896907216494845,0.024657632737908206,0.8335,0.9265648067737733,0.759545923632611,0.029284259482459885,0.6991815476190476,0.8136103767349636,0.8617131062951496,0.028680902879209925,0.8009132345123058,0.9123719431592862,0.5830753353973168,0.04157132913763598,0.5007129763786442,0.6718266253869969,970,969,969,969,500,mini_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_mini_min/stageA_summary.json
drugs,GPT-5-nano,low,0.7721649484536083,0.03542800974038869,0.7095283707865169,0.8486525632022471,0.7860125260960334,0.025556915988916205,0.7377143725997084,0.8341416859999728,0.7828810020876826,0.0323598150889166,0.7187192289762132,0.845410585545982,0.5313152400835073,0.026369708338703862,0.47915579193882873,0.5826893914787536,970,958,958,958,500,nano_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_nano_low/stageA_summary.json
drugs,GPT-5-nano,minimal,0.8154639175257732,0.028155242020357563,0.7533029057017544,0.8604320451584889,0.5809935205183585,0.027281237666638317,0.5301861875570627,0.6345677278304794,0.6781857451403888,0.03325243094522697,0.6138580088797814,0.745066223925198,0.34989200863930886,0.024903269742684062,0.30059779949910065,0.40028302530177995,970,926,926,926,500,nano_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_nano_min/stageA_summary.json
drugs,Ministral-3-14B,low,0.8195876288659794,0.024768992827086098,0.7649590037128713,0.8604560831219041,0.7079463364293086,0.027540525673485014,0.6537539103232534,0.7596537455156818,0.6742268041237114,0.03523348583342377,0.6055852059925093,0.7414762992575671,0.40970072239422084,0.026688865222611966,0.36433472974386116,0.4651658811366086,970,969,970,969,500,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_ministral3_14b_low/stageA_summary.json
drugs,Ministral-3-14B,minimal,0.8164948453608247,0.026938614555264487,0.7602878787878788,0.8617198822463767,0.7027863777089783,0.028646685187237772,0.6503228810763058,0.7598135852911133,0.6793814432989691,0.03735692543769513,0.606607868681605,0.7515343929129755,0.41589267285861714,0.02801215239050968,0.365621354126157,0.4783816185484875,970,969,970,969,500,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_ministral3_14b_minimal/stageA_summary.json
drugs,Qwen3.5-14B,low,0.8555211558307534,0.02777131125872755,0.8013587394637305,0.9024307637121264,0.6883384932920537,0.03337117248574896,0.6283778966131908,0.7528818345066377,0.6780185758513931,0.0482954975463177,0.5965161268154121,0.797871684762149,0.49638802889576883,0.0326406964773044,0.43255753905512423,0.5629222170997397,969,969,969,969,500,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_qwen35_14b_low/stageA_summary.json
drugs,Qwen3.5-14B,minimal,0.859504132231405,0.02833728153572786,0.7987422878634213,0.900207100591716,0.6993801652892562,0.031346838568649636,0.6327818679647095,0.756749413413283,0.6849173553719008,0.04846175011470723,0.6113941253373819,0.7907780612244898,0.5072314049586777,0.03564999300106028,0.4415953281123413,0.5738136751596954,968,968,968,968,500,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout80/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_holdout80_balanced_train_qwen35_14b_minimal/stageA_summary.json
policy,Claude Haiku 4.5,low,0.8278350515463917,0.03507466399011406,0.7626565184707904,0.8935859106529209,0.7917525773195876,0.03603245411488709,0.7184572901325479,0.8572634237107921,0.945360824742268,0.020073910381978487,0.9082474226804124,0.9688438324203692,0.7577319587628866,0.03096978517545602,0.6993719362745098,0.8149691489361701,970,970,970,970,500,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/runs/holdout/policy/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage42_holdout80_canonical_balanced/results/stage_A_policy_balanced_train_haiku45_low/stageA_summary.json
