theme,family,effort,linear_model_predicts_actor_choice,judge_predicts_actor_choice,linear_model_factor_matches_stated_factor,judge_factor_matches_stated_factor,n_choice_ok,n_judge_choice_ok,n_premise_ok,n_judge_premise_ok,model_tag,dataset_relpath,responses_relpath,stageA_summary_relpath
drugs,Claude Haiku 4.5,low,0.7288659793814433,0.7371134020618557,0.7123711340206186,0.5309278350515464,970,970,970,970,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_haiku45_low/stageA_summary.json
drugs,Claude Haiku 4.5,minimal,0.6969072164948453,0.6849173553719008,0.6762886597938145,0.4628099173553719,970,968,970,968,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_haiku45_min/stageA_summary.json
drugs,GPT-5-mini,low,0.709278350515464,0.6927835051546392,0.7515463917525773,0.5618556701030928,970,970,970,970,mini_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_mini_low/stageA_summary.json
drugs,GPT-5-mini,minimal,0.8092783505154639,0.7257731958762886,0.7762886597938145,0.5474226804123712,970,970,970,970,mini_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_mini_min/stageA_summary.json
drugs,GPT-5-nano,low,0.7371134020618557,0.7076761303890642,0.6961093585699264,0.4616193480546793,970,951,951,951,nano_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_nano_low/stageA_summary.json
drugs,GPT-5-nano,minimal,0.734020618556701,0.5495689655172413,0.5959051724137931,0.3135775862068966,970,928,928,928,nano_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_nano_min/stageA_summary.json
drugs,Ministral-3-14B,low,0.734020618556701,0.651186790505676,0.5917525773195876,0.3446852425180599,970,969,970,969,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_ministral3_14b_low/stageA_summary.json
drugs,Ministral-3-14B,minimal,0.734020618556701,0.6491228070175439,0.5958762886597938,0.3539731682146543,970,969,970,969,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_ministral3_14b_minimal/stageA_summary.json
drugs,Qwen3.5-14B,low,0.7484536082474227,0.6288659793814433,0.5824742268041238,0.4020618556701031,970,970,970,970,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_qwen35_14b_low/stageA_summary.json
drugs,Qwen3.5-14B,minimal,0.7474226804123711,0.6329896907216495,0.588659793814433,0.4020618556701031,970,970,970,970,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_qwen35_14b_minimal/stageA_summary.json
policy,Claude Haiku 4.5,low,0.8639175257731959,0.7845360824742268,0.9216494845360824,0.7690721649484537,970,970,970,970,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_haiku45_low/stageA_summary.json
policy,Claude Haiku 4.5,minimal,0.8329896907216495,0.7697095435684648,0.8824742268041237,0.6607883817427386,970,964,970,964,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_haiku45_min/stageA_summary.json
policy,GPT-5-mini,low,0.8618556701030928,0.8103092783505155,0.9103092783505154,0.7484536082474227,970,970,970,970,mini_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_mini_low/stageA_summary.json
policy,GPT-5-mini,minimal,0.8835051546391752,0.7948453608247422,0.9195876288659793,0.7195876288659794,970,970,970,970,mini_min,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_mini_min/stageA_summary.json
policy,GPT-5-nano,low,0.8865979381443299,0.7639751552795031,0.8695652173913043,0.6304347826086957,970,966,966,966,nano_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_nano_low/stageA_summary.json
policy,GPT-5-nano,minimal,0.7948453608247422,0.6307053941908713,0.6659751037344398,0.49896265560165975,970,964,964,964,nano_min,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_nano_min/stageA_summary.json
policy,Ministral-3-14B,low,0.877319587628866,0.7063081695966908,0.6253869969040248,0.38986556359875907,970,967,969,967,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_ministral3_14b_low/stageA_summary.json
policy,Ministral-3-14B,minimal,0.8783505154639175,0.7083764219234746,0.6326109391124871,0.390899689762151,970,967,969,967,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_ministral3_14b_minimal/stageA_summary.json
policy,Qwen3.5-14B,low,0.811340206185567,0.6873065015479877,0.811340206185567,0.37254901960784315,970,969,970,969,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_qwen35_14b_low/stageA_summary.json
policy,Qwen3.5-14B,minimal,0.8144329896907216,0.6893704850361198,0.8123711340206186,0.3653250773993808,970,969,970,969,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/policy/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/policy/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_policy_balanced_train_qwen35_14b_minimal/stageA_summary.json
software,Claude Haiku 4.5,low,0.7938144329896907,0.7896907216494845,0.8649484536082475,0.6195876288659794,970,970,970,970,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/splits/software/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout/software/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_software_balanced_train_haiku45_low/stageA_summary.json
