theme,family,effort,linear_model_predicts_actor_choice,linear_model_predicts_actor_choice_se,linear_model_predicts_actor_choice_ci_lo,linear_model_predicts_actor_choice_ci_hi,judge_predicts_actor_choice,judge_predicts_actor_choice_se,judge_predicts_actor_choice_ci_lo,judge_predicts_actor_choice_ci_hi,linear_model_factor_matches_stated_factor,linear_model_factor_matches_stated_factor_se,linear_model_factor_matches_stated_factor_ci_lo,linear_model_factor_matches_stated_factor_ci_hi,judge_factor_matches_stated_factor,judge_factor_matches_stated_factor_se,judge_factor_matches_stated_factor_ci_lo,judge_factor_matches_stated_factor_ci_hi,n_choice_ok,n_judge_choice_ok,n_premise_ok,n_judge_premise_ok,bootstrap,model_tag,dataset_relpath,responses_relpath,stageA_summary_relpath
drugs,Claude Haiku 4.5,low,0.7288659793814433,0.041352714082342666,0.6443318414322251,0.8041928475935829,0.7371134020618557,0.03500568626695919,0.6728568181818182,0.8066073638613862,0.7123711340206186,0.03843219299905234,0.6320164147993746,0.7867396745932416,0.5309278350515464,0.03697447702503727,0.45750805931656996,0.603069461827284,970,970,970,970,500,haiku45_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/haiku45_low_tau__anthropic_claude_haiku45_low_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_haiku45_low/stageA_summary.json
drugs,Claude Haiku 4.5,minimal,0.6969072164948453,0.03274394530931175,0.630931905370844,0.7613395140664961,0.6849173553719008,0.02931569469342122,0.6275262149301294,0.743662036548116,0.6762886597938145,0.03989489509508536,0.601489898989899,0.7493053604868913,0.4628099173553719,0.036929089606423306,0.38926004063530373,0.5347880525650822,970,968,970,968,500,haiku45_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/haiku45_min_tau__anthropic_claude_haiku45_minimal_var-short_reason__judge_scores_joint_mt4096/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_haiku45_min/stageA_summary.json
drugs,GPT-5-mini,low,0.709278350515464,0.04146503673576928,0.6240811066694719,0.7889151735722284,0.6927835051546392,0.03691476041212665,0.61835625,0.7611543874975732,0.7515463917525773,0.035368390203475264,0.6858638010540185,0.8221666666666667,0.5618556701030928,0.038205656665275596,0.48589916900749064,0.6355824029771399,970,970,970,970,500,mini_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_mini_low/stageA_summary.json
drugs,GPT-5-mini,minimal,0.8092783505154639,0.03693926188336187,0.7464613961396139,0.8760218750000001,0.7257731958762886,0.032090410805859955,0.6642154893427074,0.7888886047463175,0.7762886597938145,0.04766122030205624,0.6755878712871287,0.8404754744720663,0.5474226804123712,0.04658954672481245,0.4643070707070707,0.6460807692307693,970,970,970,970,500,mini_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_mini_min/stageA_summary.json
drugs,GPT-5-nano,low,0.7371134020618557,0.036118613315644164,0.6728000000000001,0.8040337654507085,0.7076761303890642,0.030675796040430383,0.6513162731849018,0.7664207740603554,0.6961093585699264,0.03740874145205484,0.6358174200555418,0.7844041922989291,0.4616193480546793,0.03126445861094136,0.4024479313947048,0.5187435737653839,970,951,951,951,500,nano_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_nano_low/stageA_summary.json
drugs,GPT-5-nano,minimal,0.734020618556701,0.0381711988264371,0.651429228410833,0.8,0.5495689655172413,0.02793705719696112,0.49501006219274085,0.6042252536221664,0.5959051724137931,0.036392872403528946,0.5271008252785059,0.667598700615406,0.3135775862068966,0.02683014216844198,0.2676096013973999,0.3691568191288015,970,928,928,928,500,nano_min,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint_mt1024/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_nano_min/stageA_summary.json
drugs,Ministral-3-14B,low,0.734020618556701,0.03758387413908504,0.6540857712765957,0.7973489583333333,0.651186790505676,0.03588080829318059,0.5825921269741494,0.7248559732634555,0.5917525773195876,0.03925407546675584,0.5112760416666666,0.6646943069306931,0.3446852425180599,0.02973503758593789,0.28380947958267544,0.4007906463615125,970,969,970,969,500,ministral3_14b_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/ministral3_14b_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_ministral3_14b_low/stageA_summary.json
drugs,Ministral-3-14B,minimal,0.734020618556701,0.037833198543713226,0.6428571428571429,0.7968095238095237,0.6491228070175439,0.03550870089615892,0.5800696657256745,0.7177206265348991,0.5958762886597938,0.03893554502286616,0.5230028228652082,0.6692546187608451,0.3539731682146543,0.02869290335415798,0.3006307456588356,0.4113831998926972,970,969,970,969,500,ministral3_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/ministral3_14b_minimal_tau__local_ministral3_14b_reasoning_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_ministral3_14b_minimal/stageA_summary.json
drugs,Qwen3.5-14B,low,0.7484536082474227,0.03379843173206047,0.6893153561827957,0.8135325386597938,0.6288659793814433,0.03707596206056633,0.5598858695652175,0.7063558467741935,0.5824742268041238,0.05267577669213564,0.5100969387755102,0.7139732142857143,0.4020618556701031,0.03575944908784352,0.33367857142857144,0.471219362745098,970,970,970,970,500,qwen35_14b_low,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/qwen35_14b_low_tau__local_qwen35_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_qwen35_14b_low/stageA_summary.json
drugs,Qwen3.5-14B,minimal,0.7474226804123711,0.03185442392675875,0.6897406900904692,0.8125690789473684,0.6329896907216495,0.03584451480180692,0.5644732216708023,0.7030321428571429,0.588659793814433,0.05233898888642755,0.5300898156825992,0.7365588235294118,0.4020618556701031,0.03703523659673693,0.334707532051282,0.47597087378640773,970,970,970,970,500,qwen35_14b_minimal,artifacts/v4_matchedsuite_drugs_20260208/splits/holdout80_canonical_balanced/test,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/runs/holdout80/test/qwen35_14b_minimal_tau__local_qwen35_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl,artifacts/v4_matchedsuite_drugs_20260208/stage43_holdout80_canonical_balanced_short_reason/results/stage_A_holdout80_balanced_train_qwen35_14b_minimal/stageA_summary.json
