trial_id,family_id,variant_name,variant_order_source,slot_A_profile,slot_B_profile,source_origin,source_split,source_trial_id,source_config_id,source_labelA,P_E,P_A,P_S,P_D,Q_E,Q_A,Q_S,Q_D,order_id_A,order_A,order_id_B,order_B,source_order_id_A,source_order_A,source_order_id_B,source_order_B,source_paraphrase_id,paraphrase_id,seed,variant_delta_E,variant_delta_A,variant_delta_S,variant_delta_D,source_delta_E,source_delta_A,source_delta_S,source_delta_D,delta_base_E,delta_base_A,delta_base_S,delta_base_D,labelA
train_0001__p_at_oa_vs_q_at_oa,train_0001,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00213,B3-0003,A,Low,Low,High,Medium,Low,Medium,Low,Low,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,3,D>A>S>E,0,0,673820070,0,-1,2,1,0,-1,2,1,0,-1,2,1,A
train_0001__q_at_oa_vs_p_at_oa,train_0001,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00213,B3-0003,A,Low,Low,High,Medium,Low,Medium,Low,Low,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,3,D>A>S>E,0,0,673820070,0,1,-2,-1,0,-1,2,1,0,1,-2,-1,B
train_0001__p_at_ob_vs_q_at_ob,train_0001,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00213,B3-0003,A,Low,Low,High,Medium,Low,Medium,Low,Low,3,D>A>S>E,3,D>A>S>E,1,S>E>A>D,3,D>A>S>E,0,0,673820070,0,-1,2,1,0,-1,2,1,0,-1,2,1,A
train_0001__q_at_ob_vs_p_at_ob,train_0001,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00213,B3-0003,A,Low,Low,High,Medium,Low,Medium,Low,Low,3,D>A>S>E,3,D>A>S>E,1,S>E>A>D,3,D>A>S>E,0,0,673820070,0,1,-2,-1,0,-1,2,1,0,1,-2,-1,B
train_0002__p_at_oa_vs_q_at_oa,train_0002,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00216,B3-0004,B,Low,High,High,Low,High,High,Medium,Low,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,2,0,1340301466,-2,0,1,0,2,0,-1,0,-2,0,1,0,A
train_0002__q_at_oa_vs_p_at_oa,train_0002,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00216,B3-0004,B,Low,High,High,Low,High,High,Medium,Low,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,2,0,1340301466,2,0,-1,0,2,0,-1,0,2,0,-1,0,B
train_0002__p_at_ob_vs_q_at_ob,train_0002,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00216,B3-0004,B,Low,High,High,Low,High,High,Medium,Low,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,0,E>S>D>A,2,0,1340301466,-2,0,1,0,2,0,-1,0,-2,0,1,0,A
train_0002__q_at_ob_vs_p_at_ob,train_0002,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00216,B3-0004,B,Low,High,High,Low,High,High,Medium,Low,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,0,E>S>D>A,2,0,1340301466,2,0,-1,0,2,0,-1,0,2,0,-1,0,B
train_0003__p_at_oa_vs_q_at_oa,train_0003,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00217,B3-0005,A,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,0,0,940087482,0,-1,0,1,0,-1,0,1,0,-1,0,1,A
train_0003__q_at_oa_vs_p_at_oa,train_0003,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00217,B3-0005,A,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,1,S>E>A>D,1,S>E>A>D,1,S>E>A>D,0,E>S>D>A,0,0,940087482,0,1,0,-1,0,-1,0,1,0,1,0,-1,B
train_0003__p_at_ob_vs_q_at_ob,train_0003,p_at_ob_vs_q_at_ob,oB,P,Q,stage43,train,T-00217,B3-0005,A,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,0,E>S>D>A,0,0,940087482,0,-1,0,1,0,-1,0,1,0,-1,0,1,A
train_0003__q_at_ob_vs_p_at_ob,train_0003,q_at_ob_vs_p_at_ob,oB,Q,P,stage43,train,T-00217,B3-0005,A,Medium,Low,Medium,Medium,Medium,Medium,Medium,Low,0,E>S>D>A,0,E>S>D>A,1,S>E>A>D,0,E>S>D>A,0,0,940087482,0,1,0,-1,0,-1,0,1,0,1,0,-1,B
train_0004__p_at_oa_vs_q_at_oa,train_0004,p_at_oa_vs_q_at_oa,oA,P,Q,stage43,train,T-00219,B3-0006,A,High,Medium,Low,Medium,High,High,Low,Low,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,1,S>E>A>D,1,0,724690652,0,-1,0,1,0,-1,0,1,0,-1,0,1,A
train_0004__q_at_oa_vs_p_at_oa,train_0004,q_at_oa_vs_p_at_oa,oA,Q,P,stage43,train,T-00219,B3-0006,A,High,Medium,Low,Medium,High,High,Low,Low,2,A>D>E>S,2,A>D>E>S,2,A>D>E>S,1,S>E>A>D,1,0,724690652,0,1,0,-1,0,-1,0,1,0,1,0,-1,B
