theme,objective,family,effort,attr_code,attr_label,actor_share,linear_share,judge_share,n_actor_attr,linear_matches_actor_rate,judge_matches_actor_rate,linear_choice_accuracy_given_actor_attr,judge_choice_accuracy_given_actor_attr
drugs,5-year overall patient outcome,GPT-5-mini,minimal,E,Efficacy,0.4891666666666667,0.6266666666666667,0.6933333333333334,587,0.9829642248722317,0.9233390119250426,0.9165247018739353,0.9080068143100511
drugs,5-year overall patient outcome,GPT-5-mini,minimal,A,Adherence,0.11916666666666667,0.045,0.07083333333333333,143,0.3706293706293706,0.3706293706293706,0.8391608391608392,0.8251748251748252
drugs,5-year overall patient outcome,GPT-5-mini,minimal,S,Safety,0.18166666666666667,0.21333333333333335,0.21083333333333334,218,0.8027522935779816,0.5091743119266054,0.9357798165137615,0.7752293577981652
drugs,5-year overall patient outcome,GPT-5-mini,minimal,D,Durability,0.21,0.115,0.025,252,0.3888888888888889,0.08333333333333333,0.7341269841269841,0.5317460317460317
drugs,5-year overall patient outcome,GPT-5-mini,low,E,Efficacy,0.4658333333333333,0.5333333333333333,0.6891666666666667,559,0.998211091234347,0.9803220035778175,0.9087656529516994,0.8837209302325582
drugs,5-year overall patient outcome,GPT-5-mini,low,A,Adherence,0.16666666666666666,0.12583333333333332,0.1075,200,0.75,0.42,0.635,0.71
drugs,5-year overall patient outcome,GPT-5-mini,low,S,Safety,0.22666666666666666,0.25666666666666665,0.17,272,0.9779411764705882,0.5477941176470589,0.8970588235294118,0.7647058823529411
drugs,5-year overall patient outcome,GPT-5-mini,low,D,Durability,0.14083333333333334,0.08416666666666667,0.03333333333333333,169,0.5798816568047337,0.1242603550295858,0.5798816568047337,0.621301775147929
drugs,5-year overall patient outcome,GPT-5-nano,minimal,E,Efficacy,0.4058333333333333,0.49583333333333335,0.6308333333333334,487,0.7987679671457906,0.8295687885010267,0.8809034907597536,0.7351129363449692
drugs,5-year overall patient outcome,GPT-5-nano,minimal,A,Adherence,0.15916666666666668,0.15666666666666668,0.20333333333333334,191,0.44502617801047123,0.418848167539267,0.837696335078534,0.6910994764397905
