theme,objective,family,effort,comparison,from_attr_code,from_attr_label,to_attr_code,to_attr_label,count,share_of_mismatches,n_mismatches
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,D,Durability,E,Efficacy,99,0.3333333333333333,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,D,Durability,S,Safety,55,0.18518518518518517,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,A,Adherence,E,Efficacy,47,0.15824915824915825,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,S,Safety,E,Efficacy,29,0.09764309764309764,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,E,Efficacy,S,Safety,10,0.03367003367003367,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,A,Adherence,D,Durability,27,0.09090909090909091,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,S,Safety,D,Durability,13,0.04377104377104377,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,A,Adherence,S,Safety,16,0.05387205387205387,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_linear,S,Safety,A,Adherence,1,0.003367003367003367,297
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,S,Safety,E,Efficacy,87,0.1839323467230444,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,D,Durability,E,Efficacy,153,0.32346723044397463,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,D,Durability,S,Safety,62,0.13107822410147993,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,A,Adherence,E,Efficacy,50,0.10570824524312897,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,E,Efficacy,S,Safety,44,0.09302325581395349,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,S,Safety,A,Adherence,15,0.03171247357293869,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,A,Adherence,S,Safety,36,0.07610993657505286,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,S,Safety,D,Durability,5,0.010570824524312896,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,D,Durability,A,Adherence,16,0.03382663847780127,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,A,Adherence,D,Durability,4,0.008456659619450317,473
drugs,5-year overall patient outcome,GPT-5-mini,minimal,actor_vs_judge,E,Efficacy,A,Adherence,1,0.0021141649048625794,473
