theme,objective,family,effort,model_tag,n_choice_premise_ok,n_non_tied,n_support,n_contradict,n_tied,support_rate_all,support_rate_non_tied,contradiction_rate_non_tied,tied_rate
drugs,5-year overall patient outcome,GPT-5-mini,minimal,mini_min,1200,1185,1146,39,15,0.955,0.9670886075949368,0.03291139240506329,0.0125
drugs,5-year overall patient outcome,GPT-5-mini,low,mini_low,1200,1199,1192,7,1,0.9933333333333333,0.994161801501251,0.005838198498748957,0.0008333333333333334
drugs,5-year overall patient outcome,GPT-5-nano,minimal,nano_min,1200,1102,931,171,98,0.7758333333333334,0.8448275862068966,0.15517241379310345,0.08166666666666667
drugs,5-year overall patient outcome,GPT-5-nano,low,nano_low,1200,1175,1147,28,25,0.9558333333333333,0.9761702127659575,0.023829787234042554,0.020833333333333332
drugs,5-year overall patient outcome,Qwen3-14B,minimal,qwen_min,1200,1127,886,241,73,0.7383333333333333,0.7861579414374446,0.21384205856255545,0.060833333333333336
drugs,5-year overall patient outcome,Qwen3-14B,low,qwen_low,1200,1200,1181,19,0,0.9841666666666666,0.9841666666666666,0.015833333333333335,0.0
drugs,5-year overall patient outcome,Ministral-3-14B,minimal,ministral_min,1200,1127,1004,123,73,0.8366666666666667,0.8908606921029282,0.10913930789707187,0.060833333333333336
drugs,5-year overall patient outcome,Ministral-3-14B,low,ministral_low,1200,1103,1027,76,97,0.8558333333333333,0.9310970081595649,0.06890299184043518,0.08083333333333333
policy,5-year overall community outcome,GPT-5-mini,minimal,mini_min,1200,1175,1157,18,25,0.9641666666666666,0.9846808510638297,0.015319148936170212,0.020833333333333332
policy,5-year overall community outcome,GPT-5-mini,low,mini_low,1200,1196,1195,1,4,0.9958333333333333,0.9991638795986622,0.0008361204013377926,0.0033333333333333335
policy,5-year overall community outcome,GPT-5-nano,minimal,nano_min,1200,1093,948,145,107,0.79,0.8673376029277219,0.13266239707227814,0.08916666666666667
policy,5-year overall community outcome,GPT-5-nano,low,nano_low,1200,1153,1145,8,47,0.9541666666666667,0.9930615784908933,0.006938421509106678,0.03916666666666667
policy,5-year overall community outcome,Qwen3-14B,minimal,qwen_min,1200,1123,1025,98,77,0.8541666666666666,0.9127337488869101,0.08726625111308994,0.06416666666666666
policy,5-year overall community outcome,Qwen3-14B,low,qwen_low,1200,1172,1166,6,28,0.9716666666666667,0.9948805460750854,0.005119453924914676,0.023333333333333334
policy,5-year overall community outcome,Ministral-3-14B,minimal,ministral_min,1200,1084,1019,65,116,0.8491666666666666,0.9400369003690037,0.05996309963099631,0.09666666666666666
policy,5-year overall community outcome,Ministral-3-14B,low,ministral_low,1200,1076,1005,71,124,0.8375,0.9340148698884758,0.06598513011152417,0.10333333333333333
software,5-year overall production engineering outcome for a small team,GPT-5-mini,minimal,mini_min,1200,1181,1146,35,19,0.955,0.9703640982218459,0.029635901778154106,0.015833333333333335
software,5-year overall production engineering outcome for a small team,GPT-5-mini,low,mini_low,1200,1183,1180,3,17,0.9833333333333333,0.9974640743871513,0.00253592561284869,0.014166666666666666
software,5-year overall production engineering outcome for a small team,GPT-5-nano,minimal,nano_min,1200,1062,788,274,138,0.6566666666666666,0.7419962335216572,0.2580037664783427,0.115
software,5-year overall production engineering outcome for a small team,GPT-5-nano,low,nano_low,1200,1153,1133,20,47,0.9441666666666667,0.9826539462272333,0.017346053772766695,0.03916666666666667
software,5-year overall production engineering outcome for a small team,Qwen3-14B,minimal,qwen_min,1200,1144,1095,49,56,0.9125,0.9571678321678322,0.04283216783216783,0.04666666666666667
software,5-year overall production engineering outcome for a small team,Qwen3-14B,low,qwen_low,1200,1184,1171,13,16,0.9758333333333333,0.9890202702702703,0.01097972972972973,0.013333333333333334
software,5-year overall production engineering outcome for a small team,Ministral-3-14B,minimal,ministral_min,1200,1080,1002,78,120,0.835,0.9277777777777778,0.07222222222222222,0.1
software,5-year overall production engineering outcome for a small team,Ministral-3-14B,low,ministral_low,1200,1076,1011,65,124,0.8425,0.9395910780669146,0.0604089219330855,0.10333333333333333
placebo_packaging,5-year overall patient outcome,GPT-5-mini,minimal,mini_min,1200,1177,1169,8,23,0.9741666666666666,0.9932030586236194,0.006796941376380629,0.019166666666666665
placebo_packaging,5-year overall patient outcome,GPT-5-mini,low,mini_low,1200,1199,1197,2,1,0.9975,0.9983319432860718,0.0016680567139282735,0.0008333333333333334
placebo_packaging,5-year overall patient outcome,GPT-5-nano,minimal,nano_min,1200,1046,827,219,154,0.6891666666666667,0.7906309751434034,0.20936902485659656,0.12833333333333333
placebo_packaging,5-year overall patient outcome,GPT-5-nano,low,nano_low,1200,1182,1163,19,18,0.9691666666666666,0.9839255499153976,0.016074450084602367,0.015
placebo_packaging,5-year overall patient outcome,Qwen3-14B,minimal,qwen_min,1200,1126,1008,118,74,0.84,0.8952042628774423,0.10479573712255773,0.06166666666666667
placebo_packaging,5-year overall patient outcome,Qwen3-14B,low,qwen_low,1200,1199,1179,20,1,0.9825,0.9833194328607172,0.016680567139282735,0.0008333333333333334
