theme,theme_display,family,effort,model_tag,n_responses,n_families,expected_draws_per_family,actor_choice_family_complete_rate,actor_choice_family_complete_rate_ci_lo,actor_choice_family_complete_rate_ci_hi,actor_choice_family_consistency_rate,actor_choice_family_consistency_rate_ci_lo,actor_choice_family_consistency_rate_ci_hi,actor_choice_family_modal_share,actor_choice_family_modal_share_ci_lo,actor_choice_family_modal_share_ci_hi,self_report_driver_family_complete_rate,self_report_driver_family_complete_rate_ci_lo,self_report_driver_family_complete_rate_ci_hi,self_report_driver_family_consistency_rate,self_report_driver_family_consistency_rate_ci_lo,self_report_driver_family_consistency_rate_ci_hi,self_report_driver_family_modal_share,self_report_driver_family_modal_share_ci_lo,self_report_driver_family_modal_share_ci_hi,score_judge_choice_family_complete_rate,score_judge_choice_family_complete_rate_ci_lo,score_judge_choice_family_complete_rate_ci_hi,score_judge_choice_family_consistency_rate,score_judge_choice_family_consistency_rate_ci_lo,score_judge_choice_family_consistency_rate_ci_hi,score_judge_choice_family_modal_share,score_judge_choice_family_modal_share_ci_lo,score_judge_choice_family_modal_share_ci_hi,score_judge_driver_family_complete_rate,score_judge_driver_family_complete_rate_ci_lo,score_judge_driver_family_complete_rate_ci_hi,score_judge_driver_family_consistency_rate,score_judge_driver_family_consistency_rate_ci_lo,score_judge_driver_family_consistency_rate_ci_hi,score_judge_driver_family_modal_share,score_judge_driver_family_modal_share_ci_lo,score_judge_driver_family_modal_share_ci_hi,tau_responses_relpath
drugs,Drugs,GPT-5-mini,low,mini_low,1200,100,12,1.0,1.0,1.0,0.55,0.46,0.64,0.8991666666666667,0.8733333333333333,0.9258333333333333,1.0,1.0,1.0,0.36,0.27,0.46,0.8416666666666666,0.8095625000000001,0.8758333333333332,1.0,1.0,1.0,0.75,0.66,0.83,0.9608333333333333,0.9428958333333333,0.975,1.0,1.0,1.0,0.56,0.45475000000000004,0.65,0.8825,0.8478958333333333,0.9158333333333334,outputs/final_same_order/runs/drugs/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-mini,minimal,mini_min,1200,100,12,1.0,1.0,1.0,0.67,0.57,0.76,0.9141666666666666,0.8891666666666665,0.9429375000000001,1.0,1.0,1.0,0.38,0.29,0.47524999999999973,0.8175,0.7833333333333333,0.8508333333333333,1.0,1.0,1.0,0.71,0.61,0.7952499999999998,0.9225,0.8933333333333334,0.9491666666666667,1.0,1.0,1.0,0.6,0.51,0.7,0.8908333333333335,0.8578958333333334,0.9229791666666666,outputs/final_same_order/runs/drugs/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-nano,low,nano_low,1200,100,12,1.0,1.0,1.0,0.33,0.25,0.42,0.8416666666666666,0.815,0.8716666666666667,1.0,1.0,1.0,0.17,0.1,0.24524999999999977,0.7408333333333335,0.7095625,0.7762708333333334,1.0,1.0,1.0,0.59,0.49,0.69,0.9091666666666666,0.88,0.9375,1.0,1.0,1.0,0.33,0.24475000000000002,0.42,0.8275,0.7920625,0.8554375,outputs/final_same_order/runs/drugs/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-nano,minimal,nano_min,1200,100,12,1.0,1.0,1.0,0.16,0.09,0.24,0.7300000000000001,0.6991666666666667,0.7633333333333333,1.0,1.0,1.0,0.11,0.05,0.17524999999999977,0.655,0.6241666666666668,0.6929375,1.0,1.0,1.0,0.21,0.14,0.2852499999999998,0.8025000000000001,0.7720625,0.8325,1.0,1.0,1.0,0.08,0.03,0.14,0.7224999999999998,0.6874583333333334,0.7575,outputs/final_same_order/runs/drugs/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Ministral-3-14B,low,ministral_low,1200,100,12,1.0,1.0,1.0,0.03,0.0,0.07,0.6841666666666667,0.6575,0.7083333333333335,1.0,1.0,1.0,0.01,0.0,0.03,0.5725,0.5475,0.6,1.0,1.0,1.0,0.47,0.38,0.56,0.8675000000000002,0.8358333333333334,0.8991666666666667,1.0,1.0,1.0,0.2,0.13,0.28,0.7575,0.7212291666666668,0.7929375000000001,outputs/final_same_order/runs/drugs/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Ministral-3-14B,minimal,ministral_min,1200,100,12,1.0,1.0,1.0,0.08,0.03,0.14,0.7225,0.6895625000000001,0.7554375,1.0,1.0,1.0,0.01,0.0,0.03,0.5616666666666665,0.535,0.5925,1.0,1.0,1.0,0.51,0.41475,0.62,0.8766666666666667,0.8445625,0.9079791666666666,1.0,1.0,1.0,0.24,0.16,0.32,0.7799999999999998,0.7466666666666667,0.8179375000000001,outputs/final_same_order/runs/drugs/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Qwen3-14B,low,qwen_low,1200,100,12,1.0,1.0,1.0,0.44,0.34,0.54,0.8483333333333333,0.8166666666666665,0.8783333333333334,1.0,1.0,1.0,0.31,0.22475,0.39,0.7741666666666669,0.7370625000000001,0.8112708333333334,1.0,1.0,1.0,0.65,0.56,0.74,0.9249999999999998,0.9024583333333334,0.9474999999999999,1.0,1.0,1.0,0.42,0.31475000000000003,0.52,0.8424999999999998,0.8066666666666668,0.8771041666666667,outputs/final_same_order/runs/drugs/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Qwen3-14B,minimal,qwen_min,1200,100,12,1.0,1.0,1.0,0.51,0.4,0.61,0.8508333333333333,0.8158333333333333,0.8862708333333335,1.0,1.0,1.0,0.29,0.20475000000000002,0.38,0.7116666666666669,0.675,0.7533333333333333,1.0,1.0,1.0,0.59,0.49,0.69,0.8575,0.8175,0.8958333333333333,1.0,1.0,1.0,0.28,0.19,0.38,0.7308333333333333,0.6957916666666665,0.7733333333333334,outputs/final_same_order/runs/drugs/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-mini,low,mini_low,1200,100,12,1.0,1.0,1.0,0.67,0.58475,0.7652499999999998,0.9216666666666665,0.8933333333333333,0.9475000000000001,1.0,1.0,1.0,0.58,0.48,0.69,0.8941666666666667,0.8625,0.9258333333333334,1.0,1.0,1.0,0.76,0.67,0.84,0.9408333333333334,0.9137291666666667,0.965,1.0,1.0,1.0,0.52,0.42,0.62,0.8766666666666667,0.8441666666666666,0.9062708333333335,outputs/final_same_order/runs/policy/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-mini,minimal,mini_min,1200,100,12,1.0,1.0,1.0,0.7,0.61,0.8,0.9166666666666667,0.8882916666666666,0.9450000000000001,1.0,1.0,1.0,0.54,0.45,0.65,0.8591666666666665,0.8245625000000001,0.8954375,1.0,1.0,1.0,0.65,0.57,0.74,0.9083333333333333,0.8808333333333332,0.9391666666666667,1.0,1.0,1.0,0.53,0.43,0.63,0.8791666666666665,0.8458333333333333,0.91,outputs/final_same_order/runs/policy/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
