theme,theme_display,family,effort,model_tag,n_responses,n_config_ids,heldout_choice_prediction,heldout_choice_prediction_ci_lo,heldout_choice_prediction_ci_hi,score_judge_predicts_actor_choice,score_judge_predicts_actor_choice_ci_lo,score_judge_predicts_actor_choice_ci_hi,self_report_revealed_driver,self_report_revealed_driver_ci_lo,self_report_revealed_driver_ci_hi,score_judge_revealed_driver,score_judge_revealed_driver_ci_lo,score_judge_revealed_driver_ci_hi,tau_responses_relpath
drugs,Drugs,GPT-5-mini,low,mini_low,1200,73,0.8158333333333333,0.7499323427287582,0.869186017415674,0.7966666666666666,0.7263053063118812,0.8565264423076921,0.7216666666666667,0.6389845170741564,0.7889285714285713,0.7658333333333334,0.6866625816993465,0.8249578048281505,outputs/final_same_order/runs/drugs/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-mini,minimal,mini_min,1200,73,0.8775,0.8300057411445942,0.9219863782051282,0.795,0.7255101453127769,0.8627404513888888,0.665,0.5853415384373328,0.7442439096850861,0.7866666666666666,0.7061011904761905,0.8567807971014493,outputs/final_same_order/runs/drugs/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-nano,low,nano_low,1200,73,0.7966666666666666,0.740129662004662,0.8432388316151203,0.7425,0.6795241477272728,0.8008819444444444,0.6033333333333334,0.5182946565723063,0.6740586299682293,0.5866666666666667,0.49793300348518793,0.6638334500466853,outputs/final_same_order/runs/drugs/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,GPT-5-nano,minimal,nano_min,1200,73,0.8,0.762185490456262,0.8380389452780229,0.6558333333333334,0.6165473440074504,0.6960582165109034,0.5108333333333334,0.4457586284177499,0.5722231258132318,0.47833333333333333,0.411552023623415,0.5393748736608045,outputs/final_same_order/runs/drugs/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Ministral-3-14B,low,ministral_low,1200,73,0.6525,0.6184854856212697,0.6880354258830138,0.605,0.5639596304991324,0.6499200336700337,0.42,0.3652150803568329,0.46956930570970523,0.6641666666666667,0.6009546925566343,0.7276646639964397,outputs/final_same_order/runs/drugs/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Ministral-3-14B,minimal,ministral_min,1200,73,0.7591666666666667,0.7321367052928281,0.7906256316959773,0.6758333333333333,0.6297379725085911,0.7193817608711225,0.5275,0.48237884071154236,0.5713741987179487,0.6375,0.5816396048109966,0.7020826621563574,outputs/final_same_order/runs/drugs/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Qwen3-14B,low,qwen_low,1200,73,0.775,0.722793682795699,0.8244417915435486,0.74,0.6741932189542484,0.805713696369637,0.6333333333333333,0.5635107260726072,0.7030098157051281,0.6266666666666667,0.5566187576701596,0.6892083333333333,outputs/final_same_order/runs/drugs/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Drugs,Qwen3-14B,minimal,qwen_min,1200,73,0.7558333333333334,0.6877995686569301,0.8193795386760033,0.7383333333333333,0.683403809130913,0.7925263073979592,0.5125,0.4383562271062271,0.5961574707202468,0.515,0.44983385344429033,0.585768903993203,outputs/final_same_order/runs/drugs/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-mini,low,mini_low,1200,73,0.89,0.8500456742102782,0.9309641617702642,0.7925,0.7215082526293867,0.8700954861111111,0.8516666666666667,0.8006443298969073,0.8983406674000733,0.825,0.7691589992332567,0.8792113095238095,outputs/final_same_order/runs/policy/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-mini,minimal,mini_min,1200,73,0.8866666666666667,0.8341461625103116,0.927389125631313,0.8,0.7291495136355741,0.8594218288307303,0.8041666666666667,0.7388875711574953,0.8618230430825242,0.81,0.7495668316831683,0.8687891541225022,outputs/final_same_order/runs/policy/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-nano,low,nano_low,1200,73,0.8583333333333333,0.8127853535353535,0.8988487819370172,0.7425,0.689227669932269,0.8009129759129759,0.75,0.6856595911949686,0.805829490291262,0.7066666666666667,0.6342970142602495,0.7774035087719298,outputs/final_same_order/runs/policy/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-nano,minimal,nano_min,1200,73,0.8141666666666667,0.7821668975561239,0.8428597468018824,0.6708333333333333,0.6328901397515528,0.7070583411433927,0.5541666666666667,0.4885708722741433,0.6216343537414966,0.4675,0.40649494636963696,0.532628367003367,outputs/final_same_order/runs/policy/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Ministral-3-14B,low,ministral_low,1200,73,0.6616666666666666,0.6245711233211233,0.7000914083893452,0.6433333333333333,0.6068958333333333,0.6786358615611193,0.4575,0.40237285316884375,0.5131703795379537,0.6691666666666667,0.5933922558922559,0.7381158980582524,outputs/final_same_order/runs/policy/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Ministral-3-14B,minimal,ministral_min,1200,73,0.7916666666666666,0.7597556089743589,0.8237699285321605,0.7241666666666666,0.6797475038402457,0.7673490120274914,0.6633333333333333,0.6102941176470589,0.7091836734693877,0.6641666666666667,0.6143970340661518,0.7196890782828282,outputs/final_same_order/runs/policy/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Qwen3-14B,low,qwen_low,1200,73,0.8675,0.8168634326667961,0.9162571903481248,0.79,0.7290151073072684,0.8518518518518519,0.7891666666666667,0.7196092233009709,0.8468252343252343,0.7316666666666667,0.6658489096573209,0.7912860576923076,outputs/final_same_order/runs/policy/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Qwen3-14B,minimal,qwen_min,1200,73,0.8866666666666667,0.8448618421052632,0.9299080141129031,0.71,0.6461435811948543,0.7716666666666666,0.7025,0.6291691756991837,0.7833898765691844,0.46,0.3981369047619048,0.5219551282051282,outputs/final_same_order/runs/policy/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-mini,low,mini_low,1200,73,0.8591666666666666,0.8192914974487139,0.9020400958365067,0.6533333333333333,0.5725966828478964,0.741000703409467,0.7716666666666666,0.7162022903946885,0.8252757384845013,0.5825,0.49224114303848593,0.6716001157407407,outputs/final_same_order/runs/software/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-mini,minimal,mini_min,1200,73,0.8591666666666666,0.8068101204450342,0.9040683962264151,0.8075,0.759446304563492,0.8586601307189542,0.6166666666666667,0.5262887738902119,0.6945807372793353,0.6075,0.5443510171058715,0.6688604565537555,outputs/final_same_order/runs/software/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-nano,low,nano_low,1200,73,0.7516666666666667,0.7053834033613445,0.7964589112343966,0.7275,0.6765166957872258,0.7774112654320987,0.5516666666666666,0.47998361735211986,0.6214926861702128,0.6233333333333333,0.5506227889150943,0.6960562558356675,outputs/final_same_order/runs/software/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-nano,minimal,nano_min,1200,73,0.865,0.8379404105392158,0.8886223958333334,0.56,0.5149220297029703,0.6070787584459459,0.3675,0.3143428622797555,0.4183281322237633,0.31666666666666665,0.28398375496031747,0.351201447464334,outputs/final_same_order/runs/software/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Ministral-3-14B,low,ministral_low,1200,73,0.6458333333333334,0.6140975877192982,0.6780478395061729,0.615,0.5745990566037735,0.6530667499739665,0.42916666666666664,0.3808887357026144,0.4815814218769269,0.5475,0.4817068351571999,0.6115374149659863,outputs/final_same_order/runs/software/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Ministral-3-14B,minimal,ministral_min,1200,73,0.7608333333333334,0.7297977346278318,0.7892661798396334,0.6983333333333334,0.6583333333333333,0.7419838263588263,0.49666666666666665,0.4369791666666667,0.5532919170904608,0.5833333333333334,0.5358876633986929,0.6345962199312714,outputs/final_same_order/runs/software/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Qwen3-14B,low,qwen_low,1200,73,0.8033333333333333,0.757610180412371,0.850888371749409,0.7791666666666667,0.7230040410659677,0.8362793235133661,0.6466666666666666,0.5756390997259119,0.7153361775744781,0.6708333333333333,0.614625,0.7310850340136055,outputs/final_same_order/runs/software/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Qwen3-14B,minimal,qwen_min,1200,73,0.8583333333333333,0.8140799452285654,0.9010762813897488,0.7541666666666667,0.6947164948453608,0.807860723236663,0.5941666666666666,0.5210479797979798,0.6645813983488131,0.39666666666666667,0.33408730158730154,0.4649546204620462,outputs/final_same_order/runs/software/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
