theme,family,effort,model_tag,m0_heldout_nll,m1_heldout_nll,m2_heldout_nll,m0_heldout_choice_accuracy,m0_judge_choice_accuracy,m0_driver_matches_stated_factor_rate,m0_judge_driver_matches_rate,m0_actor_conditioned_driver_matches_stated_factor_rate,m0_placebo_driver_rate,m0_actor_conditioned_placebo_driver_rate,m1_heldout_choice_accuracy,m1_judge_choice_accuracy,m1_driver_matches_stated_factor_rate,m1_judge_driver_matches_rate,m1_actor_conditioned_driver_matches_stated_factor_rate,m1_placebo_driver_rate,m1_actor_conditioned_placebo_driver_rate,m2_heldout_choice_accuracy,m2_judge_choice_accuracy,m2_driver_matches_stated_factor_rate,m2_judge_driver_matches_rate,m2_actor_conditioned_driver_matches_stated_factor_rate,m2_placebo_driver_rate,m2_actor_conditioned_placebo_driver_rate,m0_m1_driver_agreement,m0_m1_actor_conditioned_driver_agreement,m0_m2_driver_agreement,m0_m2_actor_conditioned_driver_agreement,m1_m2_driver_agreement,m1_m2_actor_conditioned_driver_agreement,cross_model_driver_agreement,cross_model_actor_conditioned_driver_agreement,n_test_rows,n_draws,n_choice_ok_draws,n_premise_ok_draws,n_tau_ok_draws,m0_summary_model_name,m0_selected_ridge_lambda,m1_summary_model_name,m1_selected_ridge_lambda,m2_summary_model_name,m2_selected_ridge_lambda,m2_selected_shrinkage_lambda,m2_num_unique_observed_cells,m0_summary_relpath,m1_summary_relpath,m2_summary_relpath,test_dataset_relpath,test_responses_relpath
drugs,GPT-5-mini,low,mini_low,1.0807493772999701,1.0459400757020112,1.0902212961810311,0.8158333333333333,0.7966666666666666,0.7216666666666667,0.7658333333333334,0.88,0.065,0.08916666666666667,0.8391666666666666,0.7966666666666666,0.7391666666666666,0.7675,0.8733333333333333,0.115,0.1125,0.8308333333333333,0.7966666666666666,0.7016666666666667,0.7333333333333333,0.8425,0.095,0.105,0.905,0.9766666666666667,0.865,0.9483333333333334,0.9,0.9566666666666667,0.905,0.9766666666666667,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,20.0,266,outputs/final_same_order/results/stageA_drugs_mini_low/stageA_summary.json,outputs/final_same_order/results/stageA_m1_drugs_mini_low/stageA_summary.json,outputs/final_same_order/results/stageA_m2_drugs_mini_low/stageA_summary.json,outputs/final_same_order/datasets/drugs/test,outputs/final_same_order/runs/drugs/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,GPT-5-mini,minimal,mini_min,0.7146371716210476,0.7040316323055902,0.6994011747785498,0.8775,0.795,0.665,0.7866666666666666,0.7691666666666667,0.09,0.1075,0.8808333333333334,0.795,0.6691666666666667,0.7966666666666666,0.7691666666666667,0.1,0.1075,0.8991666666666667,0.795,0.6908333333333333,0.8041666666666667,0.775,0.095,0.10166666666666667,0.965,1.0,0.95,0.9841666666666666,0.965,0.9841666666666666,0.965,1.0,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,100.0,266,outputs/final_same_order/results/stageA_drugs_mini_min/stageA_summary.json,outputs/final_same_order/results/stageA_m1_drugs_mini_min/stageA_summary.json,outputs/final_same_order/results/stageA_m2_drugs_mini_min/stageA_summary.json,outputs/final_same_order/datasets/drugs/test,outputs/final_same_order/runs/drugs/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,GPT-5-nano,low,nano_low,1.2776543212501157,1.2203469970011362,1.2419060337548289,0.7966666666666666,0.7425,0.6033333333333334,0.5866666666666667,0.7633333333333333,0.15,0.1725,0.8066666666666666,0.7425,0.6316666666666667,0.6683333333333333,0.7891666666666667,0.175,0.19916666666666666,0.8033333333333333,0.7425,0.625,0.6475,0.7875,0.165,0.19333333333333333,0.83,0.8833333333333333,0.865,0.9208333333333333,0.885,0.9341666666666667,0.83,0.8833333333333333,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,50.0,266,outputs/final_same_order/results/stageA_drugs_nano_low/stageA_summary.json,outputs/final_same_order/results/stageA_m1_drugs_nano_low/stageA_summary.json,outputs/final_same_order/results/stageA_m2_drugs_nano_low/stageA_summary.json,outputs/final_same_order/datasets/drugs/test,outputs/final_same_order/runs/drugs/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,GPT-5-nano,minimal,nano_min,1.3687827093362606,1.3728834027750967,1.3863147039790709,0.8,0.6558333333333334,0.5108333333333334,0.47833333333333333,0.6025,0.235,0.23833333333333334,0.8,0.6558333333333334,0.5225,0.4825,0.6216666666666667,0.235,0.23833333333333334,0.8016666666666666,0.6558333333333334,0.49916666666666665,0.475,0.6075,0.225,0.21833333333333332,0.96,0.9483333333333334,0.925,0.9491666666666667,0.925,0.9525,0.96,0.9483333333333334,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,100.0,266,outputs/final_same_order/results/stageA_drugs_nano_min/stageA_summary.json,outputs/final_same_order/results/stageA_m1_drugs_nano_min/stageA_summary.json,outputs/final_same_order/results/stageA_m2_drugs_nano_min/stageA_summary.json,outputs/final_same_order/datasets/drugs/test,outputs/final_same_order/runs/drugs/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Ministral-3-14B,low,ministral_low,1.8773986711624948,1.875660008130057,1.8822237245862226,0.6525,0.605,0.42,0.6641666666666667,0.6416666666666667,0.065,0.125,0.6525,0.605,0.4225,0.6525,0.6416666666666667,0.065,0.125,0.6558333333333334,0.605,0.42583333333333334,0.6308333333333334,0.6275,0.105,0.14583333333333334,0.98,1.0,0.91,0.9366666666666666,0.93,0.9366666666666666,0.98,1.0,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,100.0,266,outputs/final_same_order/results/stageA_drugs_ministral_low/stageA_summary.json,outputs/final_same_order/results/stageA_m1_drugs_ministral_low/stageA_summary.json,outputs/final_same_order/results/stageA_m2_drugs_ministral_low/stageA_summary.json,outputs/final_same_order/datasets/drugs/test,outputs/final_same_order/runs/drugs/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Ministral-3-14B,minimal,ministral_min,1.4596347784603305,1.463009658193819,1.4668274085737678,0.7591666666666667,0.6758333333333333,0.5275,0.6375,0.6458333333333334,0.09,0.10583333333333333,0.7608333333333334,0.6758333333333333,0.5266666666666666,0.6441666666666667,0.65,0.09,0.10583333333333333,0.7608333333333334,0.6758333333333333,0.5183333333333333,0.6466666666666666,0.65,0.08,0.12583333333333332,0.98,0.9908333333333333,0.955,0.9583333333333334,0.965,0.9591666666666666,0.98,0.9908333333333333,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,50.0,266,outputs/final_same_order/results/stageA_drugs_ministral_min/stageA_summary.json,outputs/final_same_order/results/stageA_m1_drugs_ministral_min/stageA_summary.json,outputs/final_same_order/results/stageA_m2_drugs_ministral_min/stageA_summary.json,outputs/final_same_order/datasets/drugs/test,outputs/final_same_order/runs/drugs/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Qwen3-14B,low,qwen_low,1.3368311609624879,1.3082683879668777,1.3030904633603686,0.775,0.74,0.6333333333333333,0.6266666666666667,0.7975,0.23,0.21333333333333335,0.76,0.74,0.6358333333333334,0.6525,0.8233333333333334,0.23,0.21333333333333335,0.7616666666666667,0.74,0.5791666666666667,0.6225,0.7608333333333334,0.195,0.1775,0.865,0.895,0.815,0.8941666666666667,0.86,0.9191666666666667,0.865,0.895,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,20.0,266,outputs/final_same_order/results/stageA_drugs_qwen_low/stageA_summary.json,outputs/final_same_order/results/stageA_m1_drugs_qwen_low/stageA_summary.json,outputs/final_same_order/results/stageA_m2_drugs_qwen_low/stageA_summary.json,outputs/final_same_order/datasets/drugs/test,outputs/final_same_order/runs/drugs/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
drugs,Qwen3-14B,minimal,qwen_min,1.3005118636025201,1.286764831462637,1.3543872308584373,0.7558333333333334,0.7383333333333333,0.5125,0.515,0.5841666666666666,0.215,0.21666666666666667,0.7558333333333334,0.7383333333333333,0.5125,0.5075,0.5841666666666666,0.22,0.21666666666666667,0.7541666666666667,0.7383333333333333,0.47333333333333333,0.49833333333333335,0.56,0.185,0.21416666666666667,0.99,1.0,0.83,0.88,0.82,0.88,0.99,1.0,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,20.0,266,outputs/final_same_order/results/stageA_drugs_qwen_min/stageA_summary.json,outputs/final_same_order/results/stageA_m1_drugs_qwen_min/stageA_summary.json,outputs/final_same_order/results/stageA_m2_drugs_qwen_min/stageA_summary.json,outputs/final_same_order/datasets/drugs/test,outputs/final_same_order/runs/drugs/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,GPT-5-mini,low,mini_low,0.6550602179169437,0.6648385911872248,0.6551164161413859,0.9058333333333334,0.8516666666666667,0.8658333333333333,0.8825,0.9583333333333334,0.0,0.0,0.8891666666666667,0.8516666666666667,0.85,0.885,0.9583333333333334,0.0,0.0,0.8891666666666667,0.8516666666666667,0.85,0.885,0.9583333333333334,0.0,0.0,0.95,1.0,0.95,1.0,1.0,1.0,0.95,1.0,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,50.0,266,outputs/final_same_order/results/stageA_placebo_label_border_mini_low/stageA_summary.json,outputs/final_same_order/results/stageA_m1_placebo_label_border_mini_low/stageA_summary.json,outputs/final_same_order/results/stageA_m2_placebo_label_border_mini_low/stageA_summary.json,outputs/final_same_order/datasets/placebo_label_border/test,outputs/final_same_order/runs/placebo_label_border/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
placebo_label_border,GPT-5-mini,minimal,mini_min,0.6934952059420784,0.6898228567048786,0.7045900383671815,0.8766666666666667,0.8425,0.8033333333333333,0.8958333333333334,0.9091666666666667,0.0,0.0,0.8766666666666667,0.8425,0.8033333333333333,0.8958333333333334,0.9091666666666667,0.0,0.0,0.8766666666666667,0.8425,0.8033333333333333,0.8958333333333334,0.8958333333333334,0.0,0.0,1.0,1.0,1.0,0.9866666666666667,1.0,0.9866666666666667,1.0,1.0,400,1200,1200,1200,1200,M0,0.0,M1,0.0,M2,0.0,50.0,266,outputs/final_same_order/results/stageA_placebo_label_border_mini_min/stageA_summary.json,outputs/final_same_order/results/stageA_m1_placebo_label_border_mini_min/stageA_summary.json,outputs/final_same_order/results/stageA_m2_placebo_label_border_mini_min/stageA_summary.json,outputs/final_same_order/datasets/placebo_label_border/test,outputs/final_same_order/runs/placebo_label_border/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
