attribute,choice_flip_rate,choice_flip_n,stated_factor_flip_rate,stated_factor_flip_n,model_tag
T,0.2375,400,0.4296675191815857,391,mini_min
D,0.115,400,0.22842639593908629,394,mini_min
M,0.1825,400,0.3383838383838384,396,mini_min
C,0.185,400,0.3813131313131313,396,mini_min
A,0.0975,400,0.21483375959079284,391,mini_min
P,0.0925,400,0.16879795396419436,391,mini_min
T,0.215,400,0.41959798994974873,398,qwen_min_8030
D,0.1225,400,0.1975,400,qwen_min_8030
M,0.17,400,0.335,400,qwen_min_8030
C,0.2275,400,0.4075,400,qwen_min_8030
A,0.155,400,0.2325,400,qwen_min_8030
P,0.1075,400,0.1825,400,qwen_min_8030
